unique_id,date,time_analyzed,medium,data_type,data_provider,instrument,replicate_num,analytical_session_id,plant_id,unit_type_id,unit_sub_id,measurement_point,parameter_name,units,value,uncertainty,source_file,source_sheet,source_col_idx,date_generated,notes,flag_match
PLANT_A_secondary_clarifier_20250415_01,2025-04-15,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,43.4874578,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250415_01,2025-04-15,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,43.48745783304,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250416_01,2025-04-16,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.6638291,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250416_01,2025-04-16,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.66382911964799,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250416_01,2025-04-16,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.908333,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250416_01,2025-04-16,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.90833295912,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250417_01,2025-04-17,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.4011731,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250417_01,2025-04-17,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.401173132184,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250417_01,2025-04-17,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,49.266871,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250417_01,2025-04-17,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,49.26687102792,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250418_01,2025-04-18,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,39.2752823,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250418_01,2025-04-18,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,39.275282333112,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250418_01,2025-04-18,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.6174814,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250418_01,2025-04-18,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.61748138504,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250419_01,2025-04-19,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.0181098,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250419_01,2025-04-19,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.018109770656,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250419_01,2025-04-19,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.208635,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250419_01,2025-04-19,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.20863504447999,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250420_01,2025-04-20,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.1833818,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250420_01,2025-04-20,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.183381802968,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250420_01,2025-04-20,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.5400009,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250420_01,2025-04-20,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.540000885359994,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250421_01,2025-04-21,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.179123,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250421_01,2025-04-21,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.179122986336,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250421_01,2025-04-21,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.931812,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250421_01,2025-04-21,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.93181198343999,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250422_01,2025-04-22,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.7370279,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250422_01,2025-04-22,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.737027901,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250422_01,2025-04-22,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,44.8330374,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250422_01,2025-04-22,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,44.83303742064,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250423_01,2025-04-23,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.1578289,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250423_01,2025-04-23,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,36.157828907184,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250423_01,2025-04-23,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.255482,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250423_01,2025-04-23,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,46.25548203144,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250424_01,2025-04-24,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,42.827135,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250424_01,2025-04-24,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,42.82713502344,0.36072,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250424_01,2025-04-24,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,44.9224726,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250424_01,2025-04-24,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,44.92247257392,0.3450888,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250425_01,2025-04-25,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.586978,0.56112,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250425_01,2025-04-25,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,37.586977996176,0.56112,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250425_01,2025-04-25,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.8997086,0.5647272,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250425_01,2025-04-25,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.899708584799995,0.5647272,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
